adapter,arm,is_mock,n_repeats,n_factual_obs,accuracy,accuracy_ci_low,accuracy_ci_high,accuracy_ci_method,accuracy_wilson_low,accuracy_wilson_high,accuracy_spread_across_repeats,paired_accuracy,adjacent_substitution_rate,abstention_rate_factual,category_error_declined_rate,unscorable_rate,citation_correct_clause_rate,fabricated_paywalled_citation_rate,n_items,adjacent_ci_low,adjacent_ci_high,citation_ci_low,citation_ci_high,safety_utility,safety_utility_ci_low,safety_utility_ci_high,utility_policy
oracle,fixture,False,1,63,1.0,1.0,1.0,cluster_bootstrap_percentile,0.9425288004111484,1.0,0.0,1.0,0.0,0.0,0.2,0.0,1.0,0.04411764705882353,68,0.0,0.0,1.0,1.0,0.998529411764706,0.9951612903225806,1.0,safety
random_floor,fixture,False,5,315,0.5206349206349207,0.45915146617409375,0.5893035714285714,cluster_bootstrap_percentile,0.46555040377963314,0.5752222110744182,0.09523809523809523,0.28695652173913044,0.473015873015873,0.0,0.12,0.0,0.05,0.03529411764705882,68,0.4037003968253969,0.5352988614800759,0.021212121212121213,0.08158172720533728,0.025588235294117644,-0.08879040404040403,0.1445472027972028,safety
retrieval_bm25,grounded,False,1,63,0.2857142857142857,0.171875,0.40910953800298056,cluster_bootstrap_percentile,0.18903191986400805,0.40702716567407127,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.75,0.14705882352941177,68,0.0,0.0,0.6376811594202898,0.8529411764705882,-0.10294117647058823,-0.26764626218851567,0.07042253521126761,safety
retrieval_tfidf,grounded,False,1,63,0.2698412698412698,0.15384615384615385,0.4,cluster_bootstrap_percentile,0.17583844412315988,0.39029909219551784,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.7352941176470589,0.14705882352941177,68,0.0,0.0,0.611859182349124,0.8507462686567164,-0.125,-0.2923076923076923,0.05714285714285714,safety
